username,timestamp,cpu,boot_time,ram,ram_total,disco,disco_total
FMC-AB2,2026-09-01 13:05:02,7.8,88376.78128552437,65.9,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:05:12,4.4,88386.7828309536,67.3,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:05:22,11.3,88396.78413367271,68.5,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:05:32,5.3,88406.78541851044,69.8,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:05:42,5.6,88416.78669285774,70.2,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:05:52,7.7,88426.78796720505,69.5,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:06:02,8.8,88436.78946805,69.0,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:06:12,5.9,88446.7909731865,68.0,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:06:22,12.0,88456.79230165482,73.3,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:06:32,3.7,88466.794008255,73.1,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:06:42,1.3,88476.79538869858,72.5,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:06:52,1.7,88486.79711222649,70.9,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:07:02,1.6,88496.79870676994,70.4,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:07:12,0.9,88506.80033278465,70.5,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:07:22,1.1,88516.80180358887,70.5,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:07:32,1.2,88526.80337691307,70.2,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:07:42,2.6,88536.8050327301,69.9,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:07:52,14.8,88546.80636167526,72.8,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:08:02,16.3,88556.80752015114,72.2,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:08:12,29.7,88566.8085513115,70.2,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:08:22,49.5,88576.80994796753,71.7,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:08:32,49.8,88586.81120300293,71.5,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:08:42,47.8,88596.8125872612,72.3,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:08:52,48.0,88606.81397175789,71.7,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:09:02,51.0,88616.81571435928,74.2,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:09:12,49.9,88626.81704926491,72.7,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:09:22,52.5,88636.81837677956,72.1,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:09:32,42.0,88646.8195412159,70.1,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:09:42,37.5,88656.8207039833,69.2,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:09:52,57.0,88666.82185268402,69.3,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:10:02,34.7,88676.82312226295,67.5,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:10:12,1.7,88686.82470393181,67.3,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:10:22,4.4,88696.82633852959,67.2,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:10:32,4.5,88706.82776379585,67.3,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:10:42,8.6,88716.82914090157,61.0,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:10:52,4.5,88726.8306183815,59.7,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:11:02,3.1,88736.83198428154,59.6,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:11:12,11.0,88746.83345961571,61.0,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:11:22,5.7,88756.8348608017,60.5,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:11:32,11.3,88766.83619856834,60.7,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:11:42,8.2,88776.8375852108,60.6,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:11:52,8.2,88786.83895134926,60.8,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:12:02,6.9,88796.8401749134,61.0,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:12:12,16.2,88806.84159851074,62.5,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:12:22,11.8,88816.84312558174,62.5,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:12:32,8.0,88826.844851017,62.9,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:12:42,19.8,88836.84661793709,64.2,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:12:52,8.9,88846.84801363945,66.8,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:13:02,2.4,88856.84935545921,65.3,5505380352,31.2,97829425152
FMC-AB2,2026-09-01 13:13:12,6.4,88866.85096430779,65.8,5505380352,31.2,97829425152
