username,timestamp,cpu,boot_time,ram,ram_total,disco,disco_total
FMC-CD2,2026-09-08 22:40:25,19.8,34095.863710165024,87.2,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:40:35,13.6,34105.864998817444,87.4,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:40:45,12.2,34115.86614227295,86.6,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:40:55,12.4,34125.867094516754,86.5,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:41:05,14.8,34135.86813998222,86.3,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:41:15,13.6,34145.869253873825,85.2,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:41:25,13.2,34155.87059164047,85.7,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:41:35,16.5,34165.87173438072,85.8,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:41:45,13.0,34175.87291765213,85.4,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:41:55,13.4,34185.87408924103,84.7,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:42:05,13.6,34195.8752219677,85.2,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:42:15,12.4,34205.87634539604,84.9,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:42:25,13.1,34215.87749147415,87.4,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:42:35,14.0,34225.878606557846,87.8,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:42:45,13.9,34235.879744291306,86.8,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:42:55,13.4,34245.88095784187,87.7,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:43:05,13.7,34255.88210487366,87.6,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:43:15,12.5,34265.88317942619,87.6,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:43:25,13.0,34275.88441872597,86.9,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:43:35,13.6,34285.8856985569,87.1,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:43:45,15.9,34295.88671159744,87.1,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:43:55,13.1,34305.88749957085,87.2,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:44:05,13.0,34315.888595342636,88.2,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:44:15,14.2,34325.889674425125,88.4,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:44:25,12.8,34335.89088559151,88.4,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:44:35,13.4,34345.89183020592,87.7,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:44:45,13.4,34355.892587184906,88.1,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:44:55,17.6,34365.89368891716,89.2,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:45:05,18.5,34375.89485359192,89.5,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:45:15,18.7,34385.895958185196,89.5,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:45:25,17.1,34395.8970644474,89.3,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:45:35,23.3,34405.898144483566,90.3,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:45:45,23.5,34415.89923977852,89.2,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:45:55,13.5,34425.9002122879,84.5,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:46:05,20.8,34435.90124678612,82.2,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:46:15,15.5,34445.90233016014,81.7,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:46:25,13.6,34455.903440475464,80.8,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:46:35,15.7,34465.90556406975,81.3,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:46:45,18.2,34475.90685081482,81.9,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:46:55,20.2,34485.9078335762,82.2,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:47:05,17.5,34495.90893936157,82.7,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:47:15,16.6,34505.909900426865,82.6,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:47:25,15.7,34515.910726070404,82.1,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:47:35,14.0,34525.91181397438,81.9,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:47:45,15.1,34535.912777900696,81.3,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:47:55,14.1,34545.91388106346,82.4,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:48:05,13.4,34555.91502714157,82.3,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:48:15,13.7,34565.91613984108,82.6,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:48:25,12.8,34575.91727566719,82.3,5505355776,34.5,97829425152
FMC-CD2,2026-09-08 22:48:35,13.5,34585.91840338707,82.1,5505355776,34.5,97829425152
